#CODE;ENGLISH;;;;;;;;;;;;x;
EVTDESC_WOL_115;[target_seduced.GetTitledFirstNameNoRegnal]ù¼(ò¼) ¬³Ø ²³Ì©·Ì ¬³äˆ ªÈâ¬È¨³Ì ¡³Ð ¡ÈÐ«È ¨·Ð¥³. ¡È¥³¦ÈØëÆÌ ¢·èŠ ²ÈØæÆÐ¥³. ¬ÈÌæˆçÆÐ ¥· ¢³¡³Ð êŠ «ÈÜëÆÐ ‘´¡³ ë»ÐŽ³?;;;;;;;;;;;;x;
EVTDESC_WOL_115_BUSY;¬ÈäÆØ ¢´¡³ ²³åÆÌ «ÈÐ ‘´èÁÌ«¸ [target_seduced.GetTitledFirstNameNoRegnal]ëÆÐ(çÆÐ) ™»ßëÆÐ ªÈ¡³Ì«È «·Ú¥³. ª³ªÈÐ åŠäŠçÆÐ š¿äˆ ªÈâ¡·¢³ ²³¬Èæˆ «³Î«³.;;;;;;;;;;;;x;
EVTDESC_WOL_115_UNAVAILABLE;¢´ ª·ÝëÀÉëÆÐ ¥³Ý¡È¥·Ì [target_seduced.GetTitledFirstNameNoRegnal]ëÆÌ(åÆÌ) ¨³Ð äŒ¥´çˆ ¢´ ìŠ©¹Ì«¸ª· éˆ«È¬ÈÐ «³ÎåÆÌ¥³!;;;;;;;;;;;;x;
EVTOPTA_WOL_115;ðˆ¡È²´«µ¡¸Ü¬È... ¬ÈäÆØëÆÌ ¨³Ð«È«µ.;;;;;;;;;;;;x;
EVTOPTB_WOL_115;ª·æŠçŒ¬È «³ÎåÆÌ¥³!;;;;;;;;;;;;x;
stop_seduce_decision;ë‹ñ»É ìÁÝ¥³Ì;;;;;;;;;;;;x;
stop_seduce_decision_desc;ë‹ñ»É«¸ æÆÐ«ÈåÆÌ åˆ¦¹ÉëÆÐ äŒ¨³ÌæÁÌ¥³. «³¨³æˆ ¥³çÆÌ ª³¦³ØëÆÐ åˆ¦¹÷¼«µ¡¸Ü¬È...;;;;;;;;;;;;x;
stop_seduce_decision_tt;ë‹ñ»ÉëÆÐ •Æá¢´¥³;;;;;;;;;;;;x;
stop_seduce_decision_target;ë‹ñ»ÉëÆÐ äŒ¨³ÌæŠ¥³;;;;;;;;;;;;x;
stop_seduce_decision_target_desc;§Y[Root.GetTitledFirstNameNoRegnal]§!çÆÐ ë‹ñ»É²³¦¹åÆÌ ¡·Ð äŒ¨³ÌæÁÌ¥³. ¢³Ì ¥³çÆÌ «ÈÐ«¸ ò¼ÌªÈØëÆÐ æ»Ð¦¹«µ¡¸Ü¬È...;;;;;;;;;;;;x;
stop_spy_on_decision;«¹Ø°³ØëÆÐ ìÁÝ¥³Ì²³Ì¥³;;;;;;;;;;;;x;
stop_spy_on_decision_desc;²¹Ì¬´ ª·Ð¬·Ýô¿Ì è»Éð‰«¸ª· ¡³ØªÈùÇ åÁÌëÆÐ æ»Ð¦ÈÙ¢È¥³. ¥³çÆÌ ùÇªÈØêŒ¦·ëÁÌ ¬³æÆÐ«È ¨³Î«È «ÈÜêÆÙ¢È¥³...;;;;;;;;;;;;x;
stop_spy_on_decision_tt;«¹Ø°³ØëÆÐ äŒ¨³Ì æÁÙ¢È¥³;;;;;;;;;;;;x;
stop_spy_on_decision_target;«¹Ø°³ØëÆÐ ìÁÝ¥³Ì²³Ì¥³;;;;;;;;;;;;x;
stop_spy_on_decision_target_desc;§Y[Root.GetTitledFirstNameNoRegnal]§!«¸ ¥´²³Ì «¹Ø°³ØëÆÐ äŒ¨³ÌæÁÌ¥³. ò¼ÌªÈØª³çÆÐ æ»Ð¦¹«µ ²³Ð ¡·Û ¡³á¥³...;;;;;;;;;;;;x;
EVTDESC_HL_5051;æˆ¬·É‘¸¡³ ëŠ¦È «¹Ý«¹ÉùÇ èŠ«¹ÉëÆÐ ùÄ²¹Ù²³äˆ «ÈÜ¥³. ¢´ ìŠäÁÌ, [Liege.GetTitledFirstName]Ž¸ª· ¢´¡¸ äŒæÆÐùÇ æŠè»É«¸¡¸ ¡³ª· ¥´ª³ÝæÆÐëÆÐ ùÄ²³Ì «³Ì¬·Ì²³Ì ¡ÈÐëÆÐ ÿ¼Ééˆ²³¦³ ²³ª¹Ü¥³.;;;;;;;;;;;;x;
EVTOPTA_HL_5051;äŒ¡·ÛëÆÌ ¢´ ùÇèŠ¥³.;;;;;;;;;;;;x;
EVTOPTB_HL_5051;ùÄ²·Ø²³Ì æˆ¬·É‘¸ ‘´èÁÌ«¸ ¢´ ª´Ý¨¹ÝùÇ ùÄ²·ØëÆÐ ¡³ØêŠ²³Ð êŠ«µ «·Ú¬È.;;;;;;;;;;;;x;
EVTTOOLTIP_HL_5051;¨¹Ý¦¹ÝëÆÐ ¡·éŠ²³åÆÌ ¡·ÛëÆÌ ìŠäÁÌ«¸¡¸ ¢³Ð ®¸ðˆ²³Ð ¨¹ÝéÁÌëÆÐ ìŠ¡¸ ô¿Ì¥³.;;;;;;;;;;;;x;
EVTDESC_HL_5052;[From.GetTitledFirstName]ëÆÌ(åÆÌ) ¢³çÆÐ ¬È¢³Ì¢³Ð [FromFrom.GetName]ùÇ ª³Ý«ÈÌæÆÐ«¸¡¸ îÆÌ °³¡¹ÉëÆÐ «ÈÙ²ÈÌ æˆ¬·É‘¸ùÇ æŠè»É«¸¡¸çˆ ¥¸¦¹¡³Ü¥³.;;;;;;;;;;;;x;
EVTOPTA_HL_5052;ñÁÐçÅÝ²³äÁÌ!;;;;;;;;;;;;x;
EVTDESC_HL_5053;åÆÞëÆÌ ëˆ‡Š, [From.GetTitledFirstName]ùÇ ¨³Ð«È «³èŠæˆ °´ëŠ¬È «³ÎëÆÌ ®´ æˆ®³É²´Ü¥³. æˆ¬·ÉæÆÐ«È [From.GetHerHim]«¸¡¸ èŠêÆÌ ¬ÈÛëÆÐ ²´ÜåÆÌ¬È «³Ð¦¹ìÁÐ ª³¦³ØëÆÌ «·Ú¥³.;;;;;;;;;;;;x;
EVTOPTA_HL_5053;«È èŠêÆÌ •ÆØ”ÈÉ²³Ì ëÁÌ¨¹Ý«ÈÌ¡³.;;;;;;;;;;;;x;
EVTOPTB_HL_5053;«È «³É¥³ÝæÆÐò¼ ¡´«ÈÌ¬·ÉëŒçˆ ²¹Ùª³Ý²³Ð ±ÈÐë‰¡³ «ÈÜ¥³.;;;;;;;;;;;;x;
EVTOPTC_HL_5053;©¹Ýª³æÆÐ«¸¡¸ å»ØæÆÐëÆÐ †Š¡¹É²³¡¸ ²³¦³.;;;;;;;;;;;;x;
EVTDESC_HL_5054;¡·Ù¬´Ý«È [From.GetTitledFirstName]ëÆÌ(åÆÌ) æˆ¬·É‘¸«¸¡¸ ®³Ø¡¹Ì²³åÆÌ ¡¸ ùÄ²·Ø²³¥³äˆ ª´Ý¡³É²´ ¢´ ¨¹Ý¦¹ÝëÆÐ «È²´Ý²³¡ÈÐ ¡·éŠ²´Ü¥³. ¢³åÆÌ [From.GetHerHim]çÆÐ «ÈçÆÐ «Èë‹çˆ ®¸ðˆ²³Ð êŠ «ÈÜ¬È¨³Ì, äŒ¦·ã¥³äˆ ¢´ èŠ«¹Éçˆ«¸ª· ª³Ý«ÈÌæÆÐ«È ä»Ý¡¹É©³ÏåÆÌ èÁÌ¬¸¡³ ²´¡¹Ðô¿¬ÈåÆÌ «³ÎëÆÐ ¡·Û«È¥³.;;;;;;;;;;;;x;
EVTOPTA_HL_5054;¥³çŠ¡È ²ÈØæÆÌ ¢´ ¥´¬³ÝäÁÌëÆÐ ¥³Ð¦´÷¼«µ¡¸Ü¥³.;;;;;;;;;;;;x;
