
#
# Misc
#

korean;Korean;;;;;;;;;;;;;;x
korean_adj;Korean;;;;;;;;;;;;;;x
korean-min;Korean;;;;;;;;;;;;;;x
korean-min_adj;Korean;;;;;;;;;;;;;;x
k_westkorea;West Korea;;;;;;;;;;;;;;x
d_kingdom_of_luoyang;Tang;;;;;;;;;;;;;;x
d_kingdom_of_luoyang_adj;Tang;;;;;;;;;;;;;;x
d_seja_of_human;Mankind;;;;;;;;;;;;;;x
d_seja_of_human_adj;Mankind;;;;;;;;;;;;;;x
d_heir_of_human;Hum;;;;;;;;;;;;;;x
d_heir_of_human_adj;Human;;;;;;;;;;;;;;x
d_karling;Karling;;;;;;;;;;;;;;x
d_karling_adj;Karling;;;;;;;;;;;;;;x
GOD_YI;Yi Min-hyee;;;;;;;;;;;;;;x

e_westkorea;Galactic Imperium;;;;;;;;;;;;;;x
e_westkorea_adj;Galactic;;;;;;;;;;;;;;x
e_china;Chinese Empire;;;;;;;;;;;;;;x
e_koreanempire_adj;Korean;;;;;;;;;;;;;;x
e_dyn_e_korea_west_governor;Turkestanious De Latium;;;;;;;;;;;;;;x
e_dyn_e_korea_west_governor_adj;Korean;;;;;;;;;;;;;;x
e_korea_west_governor;Turkestanious De Latium;;;;;;;;;;;;;;x
e_korea_west_governor_adj;Korean;;;;;;;;;;;;;;x
k_westkorea_adj;Korean;;;;;;;;;;;;;;x
create_westkorea;Create the Kingdom of West Korea;;;;;;;;;;;;;;x
create_westkorea_desc;Although far from our ancestral homeland in the land of the Morning Calm, Korea is truthfully whereever we make it to be. We Kyopo have established ourselves here in this western land, and it is time that we stake our claim to this territory as part of a greater Korea - the Kingdom of West Korea.;;;;;;;;;;;;;;x




